Player,Team,Pos,Archetype
Udoka Azubuike,UTA,C,Rim running shotblocker
Miles McBride,NYK,PG,Pitbull
P.J. Tucker,PHI,PF,3&D Specialist
Amir Coffey,LAC,SF,Glue guy
Taj Gibson,WAS,C,Unclassified
Kai Jones,CHO,C,Rim running shotblocker
Wesley Matthews,MIL,SF,Switchable defender
Micah Potter,UTA,PF,Glue guy
Jericho Sims,NYK,C,Rim running shotblocker
Anthony Gill,WAS,PF,Athletic Finisher
Boban Marjanović,HOU,C,Unclassified
Raul Neto,CLE,PG,Secondary Playmaker
Peyton Watson,DEN,SG,Glue guy
Jared Rhoden,DET,SG,Unclassified
Max Christie,LAL,SG,3&D Specialist
Jordan Hall,SAS,SF,Playmaking forward
Richaun Holmes,SAC,C,Rim running shotblocker
Christian Koloko,TOR,C,Rim running shotblocker
Josh Minott,MIN,SF,Unclassified
Jamaree Bouyea,2TM,PG,Pitbull
Jamaree Bouyea,MIA,PG,Pitbull
Jamaree Bouyea,WAS,PG,Unclassified
Juan Toscano-Anderson,2TM,SF,Unclassified
Juan Toscano-Anderson,LAL,SF,Athletic Finisher
Juan Toscano-Anderson,UTA,SF,Secondary Playmaker
Tyler Dorsey,DAL,SF,Athletic Finisher
Usman Garuba,HOU,C,Unclassified
Jacob Gilyard,MEM,PG,Pitbull
Jake LaRavia,MEM,PF,Unclassified
Robin Lopez,CLE,C,Rim running shotblocker
Trevelin Queen,IND,SG,Unclassified
Terry Taylor,2TM,PF,Rim running shotblocker
Terry Taylor,IND,PF,Unclassified
Terry Taylor,CHI,PF,Rim running shotblocker
Dru Smith,2TM,SG,Pitbull
Dru Smith,MIA,SG,Switchable defender
Dru Smith,BRK,SG,Pitbull
Juancho Hernangómez,TOR,PF,Unclassified
Carlik Jones,CHI,PG,Secondary Playmaker
Frank Ntilikina,DAL,SG,Unclassified
Jason Preston,LAC,PG,Unclassified
Kessler Edwards,2TM,SF,Unclassified
Kessler Edwards,BRK,SF,Unclassified
Kessler Edwards,SAC,SF,Unclassified
James Johnson,IND,PF,Switchable defender
Moussa Diabaté,LAC,C,Unclassified
Mamadi Diakite,CLE,C,Rim running shotblocker
Isaiah Mobley,CLE,PF,Switchable defender
Jaden Springer,PHI,SG,Switchable defender
Frank Kaminsky,2TM,C,Unclassified
Frank Kaminsky,ATL,C,Unclassified
Frank Kaminsky,HOU,C,Unclassified
Lester Quiñones,GSW,SG,Microwave
Ish Smith,DEN,PG,Unclassified
John Butler,POR,C,Unclassified
